product_id,sub_category
1553,Hair Color Creme
1554,Mascara
1555,Lip Tint
1557,Nail Polish Remover
1558,Eau De Parfum
1560,Nail Polish
1563,Eau De Parfum
1564,Eau De Parfum
1565,Eau De Parfum
1566,Eau De Parfum
1567,Lipstick
1569,Eau De Parfum
1572,Liquid Lipstick
1573,Sheet Mask
1575,Blush
1578,Face Oil
1579,Face Serum
1586,Deodorant Spray
1588,Body Wash
1591,Face Moisturiser
1592,Liquid Lipstick
1593,Body Scrub
1596,Eyeshadow Palette
1598,Nail Polish
1600,Nail Polish
1603,Face Brush
1604,Face Mask
1605,Lip Tint
1607,Eau De Toilette
1608,Eau De Toilette
1609,Body Lotion
1611,Lipstick
1612,Foundation
1615,Face Wash
1619,Sunscreen
1620,Body Lotion
1621,Deodorant
1623,Liquid Lipstick
1625,Body Lotion
1627,Lip Gloss
1629,Hair Serum
1630,Lipstick
1632,Body Lotion
1638,Blush
1640,Makeup Sponge
1641,Clay Face Mask
1644,Concealer
1646,Deodorant
1647,Body Wash
1648,Face Mist
1651,Face Wash
1652,Shampoo
1656,Concealer
1660,Hair Color Conditioner
1661,Bath Loofah
1664,Conditioner
1665,Makeup Remover
1668,Blush
1673,Hair Brush
1675,Eau De Parfum
1676,Body Scrub
1678,Face Mask
1679,Face Sunscreen
1681,Face Mask
1683,Face Wash
1685,Body Wash
1686,Makeup Remover
1695,Toner
1697,Liquid Lipstick
1698,Conditioner
1699,Hair Oil
1700,Eau De Toilette
1705,Face Scrub
1707,Mascara
1708,Eyeshadow Palette
1712,Nail Polish
1713,Toner
1714,Eye Gel Patch
1715,Hair Serum
1716,Face Sunscreen
1717,Face Moisturizer
1718,Deodorant
1720,Eau De Parfum
1722,Blush
1725,Perfume
1726,Body Lotion
1727,Eau De Parfum
1729,Facial Cleanser
1730,Face Sunscreen
1731,Blush
1734,Body Lotion
1735,Face Concealer
1736,Body Lotion
1737,Blush Brush
1739,Deodorant
1742,Lipstick
1743,Lip Balm
1744,Hair Serum
1745,Hair Oil
1747,Sheet Mask
1748,Face Sunscreen
1749,Face Sunscreen
1750,Hair Serum
1751,Face Sunscreen
1752,Hair Oil
1753,Nail Polish
1754,Lipstick
1755,Blush
1756,Face Primer
1757,Liquid Lipstick
1758,Face Sunscreen
1759,Loose Powder
1761,Body Wash
1762,Lip Liner
1763,Hair Oil
1764,Eyeliner
1765,Eye Palette
1766,Face Serum
1769,Nail Polish
1770,Face Serum
1772,Eye Serum
1773,Body Mist
1774,Conditioner
1777,Lip Liner
1779,Hair Oil
1780,Toner
1781,Face Scrub
1782,Face Moisturizer
1783,Face Sunscreen
1784,Eau De Parfum
1787,Parfum
1788,Blush
1789,Hair Mask
1790,Eau De Parfum
1792,Nail Polish
1796,Body Scrub
1798,Body Mist
1799,Eau De Toilette
1804,Eau De Toilette
1806,Loose Powder
1807,Eau De Parfum
1808,Body Wash
1811,Body Scrub & Body Polishing Oil
1812,Color Corrector
1816,Face Serum
1818,Eyeshadow Palette
1819,Body Lotion
1820,Lipstick
1822,Shower Cream
1824,Lip Balm
1828,Face Cleanser
1829,Compact
1830,Nail Polish
1831,Trimmer
1833,Eau De Parfum
1834,Hair Serum
1835,Face Serum
1837,Shower Gel
1842,Eau De Parfum
1843,Eyeliner
1844,Deodorant
1846,Makeup Sponge
1850,Face Primer
1852,Conditioner
1853,Lip Tint
1854,Lip Tint
1859,Eau De Toilette
1860,Hair Oil
1864,Makeup Brush
1866,Face Moisturizer
1869,Eye Palette
1870,Perfume
1872,Eau De Parfum
1873,Face Serum
1874,Blender
1875,Deodorant
1878,Perfume
1879,Foundation
1881,"Toner, Moisturizing Cream & Moisturizing Emulsion"
1882,Face Serum
1883,Beard Oil
1885,Eau De Toilette
1888,Face Moisturizer
1889,Eau De Parfum
1892,Eye Shadow
1893,Eau De Parfum
1896,Liquid Lipstick
1899,Highlighter
1900,Perfume
1901,Body Lotion
1903,Lipstick
1904,Eyeshadow Palette
1906,Sheet Mask
1907,"Bubble Bath, Body Wash, Body Lotion, Candle, Bath Salt, Hand Cream & Bathing Bar"
1909,Face Primer
1912,Blush
1913,Body Scrub
1914,Hair Oil
1915,Toner
1916,Hair Serum
1917,Body Mist
1918,Highlighter
1923,Conceal Contour + Highlighter Stick
1924,Eau De Parfum
1925,Shower Gel
1926,Lip Balm
1927,Face Moisturizer
1929,Body Exfoliating Gel
1930,Toner
1933,Eau De Parfum
1934,Body Lotion
1935,Hair Serum
1938,Body Lotion
1940,Lip Mask
1941,Eau De Parfum
1942,Blush
1943,Lip Balm
1945,Body Lotion
1952,Conditioner
1953,Sheet Mask
1954,Face Primer
1955,Conditioner
1956,Sheet Mask
1957,Blush
1958,Lipstick
1960,Shampoo
1962,Hair Serum
1964,Hand Cream
1966,Body Scrub
1968,Eau De Parfum
1970,Nail Polish
1971,Lip Tint
1972,Eau De Toilette
1973,Blush
1975,Blush Brush
1976,Hair Oil
1978,Body Scrub
1979,Hair Mask
1980,Beard Oil
1982,Face Serum
1983,Face Concealer
1985,Body Spray
1986,Face Wash
1988,Eyeshadow Palette
1989,Shampoo
1992,Capsule Ampoule
1993,Nail Polish
1994,Setting Spray
1995,Sheet Mask
1997,Hair Serum
1998,Eau De Parfum
1999,Face Serum
2001,"Mascara, Fixing Tint, Lip Tint & Pouch"
2003,Eau De Toilette Perfume
2008,Conditioner
2010,Body Wash
2013,Body Wash
2015,Blush
