product_id,brand
1734,Moroccanoil
1735,Too Faced
1737,Bronson Professional
1739,Wild Stone
1742,Huda Beauty
1743,Deconstruct
1744,Treecell
1745,Milk Shake
1747,The Face Shop
1748,SKIN1004
1749,Aqualogica
1750,Plum
1751,Plum
1752,Brillare
1753,Insight Cosmetics
1754,Lakme
1755,Nuse
1756,Maybelline New York
1757,KIRO
1758,ClayCo.
1759,Laura Mercier
1761,Be Bodywise
1762,INGLOT
1763,Brillare
1764,Maybelline New York
1765,Makeup Revolution
1766,Plum
1767,Jean Paul Gaultier
1769,Nails Our Way
1770,Beauty of Joseon
1772,Beauty of Joseon
1773,Plum
1774,Re'equil
1777,PAC
1780,Minimalist
1781,Beardo
1782,Natio
1783,Foxtale
1784,Burberry
1787,Calvin Klein
1788,Too Faced
1790,Ramsons
1792,Lakme
1796,mCaffeine
1799,Jimmy Choo
1800,SUGAR Cosmetics
1804,Boss
1805,Shiseido
1806,Laura Mercier
1807,Beardo
1808,Dove
1811,mCaffeine
1812,Huda Beauty
1815,Swiss Beauty
1816,Minimalist
1818,Rom&nd
1819,Aveeno
1820,M.A.C
1822,The Body Shop
1824,KIKO Milano
1828,Akind
1829,FENTY BEAUTY
1830,Nails Our Way
1831,Beardo
1833,Police
1834,Minimalist
1835,Minimalist
1836,Huda Beauty
1837,Treaclemoon
1842,Burberry
1843,Lakme
1844,David Beckham
1846,PAC
1850,PAC
1852,L'Oreal Paris
1853,Rom&nd
1854,Nuse
1859,Diesel
1860,OUAI
1864,PAC
1866,Neutrogena
1869,Maybelline New York
1870,Engage
1872,Prada
1873,Minimalist
1874,Swiss Beauty
1875,Police
1878,Yardley London
1879,FENTY BEAUTY
1881,The Face Shop
1882,Caudalie
1883,Beardo
1885,Nautica
1888,The Derma Co
1889,Boss
1891,Bigen
1892,Profusion Cosmetics
1893,Kayali
1896,Smashbox
1899,Bobbi Brown
1900,Calvin Klein
1901,mCaffeine
1903,Chambor
1904,Anastasia Beverly Hills
1906,Patchology
1907,Kimirica
1909,Sheglam
1912,Nuse
1913,SKIN COTTAGE
1914,Soulflower
1915,TIRTIR
1916,L'Oreal Paris
1917,Plum
1918,Anastasia Beverly Hills
1923,Insight Cosmetics
1924,Kayali
1925,Plum
1926,Laneige
1927,Dermalogica
1929,The Face Shop
1930,TIRTIR
1932,bareMinerals
1933,Coach
1935,Olaplex
1936,Bigen
1938,Dr. Sheth's
1939,Be Bodywise
1940,Laneige
1941,Ajmal
1942,PAC
1943,WishCare
1945,LOVE beauty AND planet
1951,bareMinerals
1952,Olaplex
1953,Patchology
1954,Insight Cosmetics
1956,Lakme
1957,Nuse
1958,Estee Lauder
1960,Sebamed
1962,Kundal
1964,Plum
1966,L'occitane
1968,Secret Temptation
1969,bareMinerals
1970,Nails Our Way
1971,Nuse
1972,Jaguar
1973,Huda Beauty
1975,Real Techniques
1976,Kama Ayurveda
1978,Dream. Immerse. Play.
1979,Pilgrim
1980,Gatsby
1981,RENEE
1982,The Derma Co
1983,PAC
1985,Nautica
1986,CLINIQUE
1988,Makeup Revolution
1989,BBlunt
1992,SKIN1004
1993,KIKO Milano
1994,Huda Beauty
1995,Augustinus Bader
1996,Laneige
1997,Milk Shake
1998,Yves Saint Laurent
1999,Plum
2000,Treaclemoon
2001,ETUDE HOUSE
2002,OGX
2003,Gucci
2010,Plum
2011,bareMinerals
2013,Kimirica
2015,Sheglam
2018,Makeup Revolution
2019,Laneige
2020,Lakme
2022,Lakme
2023,Laneige
2024,Barcode Professional
2025,Forest Essentials
2026,PAC
2027,Pilgrim
2029,OGX
2030,Pilgrim
2032,Lakme
2033,Vaseline
2034,Tresemme
2037,Nuse
2038,Moroccanoil
2039,GK Hair
2041,Patchology
2042,Pilgrim
2043,Real Techniques
2045,PAC
2046,mCaffeine
2047,Insight Cosmetics
2048,Chloe
2049,KIKO Milano
2052,Nuse
2054,The Body Shop
2058,BBlunt
2059,LOVE beauty AND planet
2061,RENEE
2062,Lakme
2067,Ajmal
2068,L.A. Girl
2069,bareMinerals
2070,Sachajuan
2071,Nivea
2073,OGX
2074,Inde Wild
2075,Maybelline New York
2076,Bobbi Brown
2077,O3+
2078,Laneige
2079,Bioderma
2082,Miss Claire
2083,Plum
2084,The Body Shop
2086,L'Oreal Paris
2089,L'Oreal Paris
2091,L'Oreal Paris
2092,PAC
2094,Nails Our Way
2096,Plum
2097,Augustinus Bader
2098,Viktor & Rolf
2100,The Face Shop
2102,Charmacy Milano
2103,M.A.C
2107,Laneige
2108,M.A.C
2110,Axis-Y
2111,LA' French
2112,L'Oreal Paris
2115,Plum
2121,Minimalist
2124,Calvin Klein
2126,OGX
2128,M.A.C
2129,Calvin Klein
2130,Smashbox
2131,Bigen
2133,PAC
2135,PAC
2137,Insight Cosmetics
2138,PAC
2139,Nails Our Way
2140,M.A.C
2141,Laneige
2143,Huda Beauty
2145,Nails Our Way
2146,Nivea
2147,bareMinerals
2148,RENEE
2149,Episoft
2153,Bella Vita
2154,Laneige
2155,CLINIQUE
2157,M.A.C
2158,Plum
2159,CLINIQUE
2161,Jo Malone London
2162,Calvin Klein
2163,Tree Hut
2164,Plum
2165,Gillette
2166,M.A.C
2167,Neutrogena
2168,Streax
2169,PAC
2173,Burberry
2174,Re'equil
2175,mCaffeine
2176,SKIN1004
2180,bareMinerals
2181,Dr. Sheth's
2182,Sachajuan
2183,Jo Malone London
2185,L.A. Girl
2186,Maybelline New York
2187,Chloe
2188,Messi
2191,Issey Miyake
2193,Pilgrim
2194,Kayali
2195,First Aid Beauty
2196,Bentley
2198,Brillare
2199,Beauty of Joseon
2200,FENTY SKIN
2202,Lamel
2204,Lakme
2205,Swiss Beauty
2206,Lakme
2208,mCaffeine
2209,Rom&nd
2212,Lakme
2213,PAC
2215,Lakme
2216,Natio
